('9177818662', '+777818662', 'RU', 'RU')
('8630303152', '+730303152', 'RU', 'RU')
('9101527352', '+701527352', 'RU', 'RU')
('3883993643', '+73883993643', 'RU', 'RU')
('9008845798', '+708845798', 'RU', 'RU')
('4999253957', '+799253957', 'RU', 'RU')
('4139753505', '+739753505', 'RU', 'RU')
('9916722996', '+79916722996', 'RU', 'RU')
('7112184414', '+7112184414', 'KZ', 'KZ')
('7018518581', '+7018518581', 'KZ', 'KZ')
('9721792666', '+71792666', 'RU', 'RU')
('8160264580', '+76026458', 'RU', 'RU')
('4267915140', '+7426791514', 'RU', 'RU')
('8176413350', '+77641335', 'RU', 'RU')
('9721483511', '+71483511', 'RU', 'RU')
('3519269675', '+79269675', 'RU', 'RU')
('7607795305', '+7607795305', 'KZ', 'KZ')
('9260297995', '+760297995', 'RU', 'RU')
('3915880177', '+715880177', 'RU', 'RU')
('8771323188', '+78771323188', 'RU', 'RU')
('9025421386', '+725421386', 'RU', 'RU')
('9325781608', '+725781608', 'RU', 'RU')
('8692438545', '+792438545', 'RU', 'RU')
('9294199306', '+794199306', 'RU', 'RU')
('4274680218', '+74274680218', 'RU', 'RU')
('9211046405', '+711046405', 'RU', 'RU')
('4212208915', '+72208915', 'RU', 'RU')
('4018455565', '+718455565', 'RU', 'RU')
('7637530986', '+7637530986', 'KZ', 'KZ')
('9351822554', '+751822554', 'RU', 'RU')
('8170662961', '+770662961', 'RU', 'RU')
('9045356284', '+745356284', 'RU', 'RU')
('9103943771', '+703943771', 'RU', 'RU')
('8723693758', '+78723693758', 'RU', 'RU')
('7084208131', '+7084208131', 'KZ', 'KZ')
('8512501015', '+78512501015', 'RU', 'RU')
('9620514021', '+70514021', 'RU', 'RU')
('8784868810', '+7878486881', 'RU', 'RU')
('9538528003', '+738528003', 'RU', 'RU')
('9276000144', '+776000144', 'RU', 'RU')
('9505010703', '+705010703', 'RU', 'RU')
('7518593743', '+7518593743', 'KZ', 'KZ')
('7001653247', '+7001653247', 'KZ', 'KZ')
('8140123151', '+740123151', 'RU', 'RU')
('9032021733', '+732021733', 'RU', 'RU')
('8204285638', '+704285638', 'RU', 'RU')
('8315393969', '+78315393969', 'RU', 'RU')
('3824179408', '+74179408', 'RU', 'RU')
('8407058178', '+707058178', 'RU', 'RU')
('8092925597', '+78092925597', 'RU', 'RU')
('8138257520', '+73825752', 'RU', 'RU')
('7614517398', '+7614517398', 'KZ', 'KZ')
('8725297067', '+78725297067', 'RU', 'RU')
('9095925660', '+79592566', 'RU', 'RU')
('9689917912', '+79917912', 'RU', 'RU')
('8146852261', '+746852261', 'RU', 'RU')
('9627171069', '+77171069', 'RU', 'RU')
('4850747096', '+750747096', 'RU', 'RU')
('9817435418', '+717435418', 'RU', 'RU')
('7765126410', '+776512641', 'KZ', 'KZ')
('3410269462', '+710269462', 'RU', 'RU')
('9192393094', '+792393094', 'RU', 'RU')
('8212245460', '+71224546', 'RU', 'RU')
('4714106644', '+714106644', 'RU', 'RU')
('9032420099', '+732420099', 'RU', 'RU')
('7060115248', '+7060115248', 'KZ', 'KZ')
('9288788992', '+788788992', 'RU', 'RU')
('9314450002', '+714450002', 'RU', 'RU')
('9038689226', '+738689226', 'RU', 'RU')
('9537840142', '+737840142', 'RU', 'RU')
('9073537862', '+773537862', 'RU', 'RU')
('8110837921', '+710837921', 'RU', 'RU')
('8361476070', '+7836147607', 'RU', 'RU')
('8355389322', '+78355389322', 'RU', 'RU')
('9824334872', '+724334872', 'RU', 'RU')
('8172066458', '+772066458', 'RU', 'RU')
('4736705919', '+736705919', 'RU', 'RU')
('7715829109', '+7715829109', 'KZ', 'KZ')
('7618614368', '+7618614368', 'KZ', 'KZ')
('3846316570', '+7384631657', 'RU', 'RU')
('4113279761', '+713279761', 'RU', 'RU')
('9044023576', '+744023576', 'RU', 'RU')
('8639506443', '+739506443', 'RU', 'RU')
('951352798', '+951352798', 'MM', 'MM')
('+628788463036', '+628788463036', 'ID', 'ID')
('9796106902', '+79796106902', 'RU', 'RU')
('3650350519', '+750350519', 'RU', 'RU')
('3820980434', '+70980434', 'RU', 'RU')
('4013871335', '+713871335', 'RU', 'RU')
('7611811257', '+7611811257', 'KZ', 'KZ')
('8331711905', '+78331711905', 'RU', 'RU')
('9988791967', '+78791967', 'RU', 'RU')
('3425721427', '+725721427', 'RU', 'RU')
('8347918308', '+78347918308', 'RU', 'RU')
('8776027672', '+78776027672', 'RU', 'RU')
('8182620746', '+782620746', 'RU', 'RU')
('9008806604', '+708806604', 'RU', 'RU')
('8794663834', '+78794663834', 'RU', 'RU')
('7050193956', '+7050193956', 'KZ', 'KZ')
('4238585570', '+7858557', 'RU', 'RU')
('3510569875', '+70569875', 'RU', 'RU')
('9522733343', '+722733343', 'RU', 'RU')
('9280495045', '+780495045', 'RU', 'RU')
('3474212690', '+77421269', 'RU', 'RU')
('8488228594', '+788228594', 'RU', 'RU')
('9333712123', '+733712123', 'RU', 'RU')
('9458221304', '+758221304', 'RU', 'RU')
('9243451897', '+743451897', 'RU', 'RU')
('9603394666', '+73394666', 'RU', 'RU')
('8365643697', '+78365643697', 'RU', 'RU')
('8423842104', '+723842104', 'RU', 'RU')
('9258099426', '+758099426', 'RU', 'RU')
('7753224078', '+7753224078', 'KZ', 'KZ')
('8632525239', '+732525239', 'RU', 'RU')
('7608660426', '+7608660426', 'KZ', 'KZ')
('8720252132', '+78720252132', 'RU', 'RU')
('9169406019', '+769406019', 'RU', 'RU')
('3914617821', '+714617821', 'RU', 'RU')
('8634456775', '+734456775', 'RU', 'RU')
('7621900499', '+7621900499', 'KZ', 'KZ')
('9773234385', '+73234385', 'RU', 'RU')
('4159289882', '+759289882', 'RU', 'RU')
('8692385354', '+792385354', 'RU', 'RU')
('9185948194', '+785948194', 'RU', 'RU')
('9603691408', '+73691408', 'RU', 'RU')
('8456837169', '+756837169', 'RU', 'RU')
('13265424559', '+13265424559', 'US', 'US')
('9137003522', '+737003522', 'RU', 'RU')
('7753744237', '+7753744237', 'KZ', 'KZ')
('+358 40704004', '+35840704004', 'FI', 'FI')
('7787803477', '+7787803477', 'KZ', 'KZ')
('7859544826', '+7859544826', 'KZ', 'KZ')
('+2782493696', '+2782493696', 'ZA', 'ZA')
('9168879226', '+768879226', 'RU', 'RU')
('9227034756', '+727034756', 'RU', 'RU')
('4236729419', '+76729419', 'RU', 'RU')
('9866084586', '+766084586', 'RU', 'RU')
('8514409415', '+78514409415', 'RU', 'RU')
('8087364639', '+78087364639', 'RU', 'RU')
('9183796881', '+783796881', 'RU', 'RU')
('9464185627', '+764185627', 'RU', 'RU')
('+49694300952', '+49694300952', 'DE', 'DE')
('13203719536', '+13203719536', 'US', 'US')
('4945695387', '+745695387', 'RU', 'RU')
('+3522681088', '+3522681088', 'LU', 'LU')
('7153685288', '+7153685288', 'KZ', 'KZ')
('67752865', '+67752865', 'SB', 'SB')
('3475427381', '+775427381', 'RU', 'RU')
('9474739343', '+774739343', 'RU', 'RU')
('7471759941', '+7471759941', 'KZ', 'KZ')
('9865706530', '+76570653', 'RU', 'RU')
('+628212860003', '+628212860003', 'ID', 'ID')
('9109885331', '+709885331', 'RU', 'RU')
('9261578747', '+761578747', 'RU', 'RU')
('4838797422', '+738797422', 'RU', 'RU')
('7645044112', '+7645044112', 'KZ', 'KZ')
('3908039124', '+708039124', 'RU', 'RU')
('9642857685', '+72857685', 'RU', 'RU')
('9972072516', '+79972072516', 'RU', 'RU')
('7604311502', '+7604311502', 'KZ', 'KZ')
('7005277284', '+7005277284', 'KZ', 'KZ')
('9030488952', '+730488952', 'RU', 'RU')
('9694774963', '+79694774963', 'RU', 'RU')
('9665257875', '+75257875', 'RU', 'RU')
('9434489126', '+734489126', 'RU', 'RU')
('956024053', '+956024053', 'MM', 'MM')
('39388386572', '+39388386572', 'IT', 'IT')
('9140329861', '+740329861', 'RU', 'RU')
('630297662', '+630297662', 'PH', 'PH')
('3814111336', '+74111336', 'RU', 'RU')
('8777855628', '+78777855628', 'RU', 'RU')
('9245825933', '+745825933', 'RU', 'RU')
('3424712446', '+724712446', 'RU', 'RU')
('3651735299', '+751735299', 'RU', 'RU')
('8775300969', '+78775300969', 'RU', 'RU')
('8726612511', '+78726612511', 'RU', 'RU')
('4868285800', '+7682858', 'RU', 'RU')
('+436647382213', '+436647382213', 'AT', 'AT')
('+38162892928', '+38162892928', 'RS', 'RS')
('3531424184', '+71424184', 'RU', 'RU')
('+43676944451', '+43676944451', 'AT', 'AT')
('95230258', '+95230258', 'MM', 'MM')
('+49891589208', '+49891589208', 'DE', 'DE')
('+628125278868', '+628125278868', 'ID', 'ID')
('39349352042', '+39349352042', 'IT', 'IT')
('+46 8 644 16 8', '+468644168', 'SE', 'SE')
('+491766012208', '+491766012208', 'DE', 'DE')
('508-422-964', '+508422964', 'PM', 'PM')
('951-541-766', '+951541766', 'MM', 'MM')
('+2782447524', '+2782447524', 'ZA', 'ZA')
('252413364', '+252413364', 'SO', 'SO')
('508-410-331', '+508410331', 'PM', 'PM')
('+43660701010', '+4366070101', 'AT', 'AT')
('+23401342796', '+23401342796', 'NG', 'NG')
('951445256', '+951445256', 'MM', 'MM')
('537268866', '+537268866', 'CU', 'CU')
('+49(0)30.4991385', '+490304991385', 'DE', 'DE')
('+39333132599', '+39333132599', 'IT', 'IT')
('954-377-155', '+954377155', 'MM', 'MM')
('35850572792', '+35850572792', 'FI', 'FI')
('+38163165955', '+38163165955', 'RS', 'RS')
('432-219-122', '+432219122', 'AT', 'AT')
('951443426', '+951443426', 'MM', 'MM')
('+39 070 800009', '+39070800009', 'IT', 'IT')
('951588355', '+951588355', 'MM', 'MM')
('954643948', '+954643948', 'MM', 'MM')
('630240924', '+630240924', 'PH', 'PH')
('954547850', '+95454785', 'MM', 'MM')
('+62812962751', '+62812962751', 'ID', 'ID')
('435229352', '+435229352', 'AT', 'AT')
('4851855635', '+751855635', 'RU', 'RU')
('49918148709', '+49918148709', 'DE', 'DE')
('+39347140420', '+3934714042', 'IT', 'IT')
('630-241-068', '+630241068', 'PH', 'PH')
('+62815182622', '+62815182622', 'ID', 'ID')
('+494350215576', '+494350215576', 'DE', 'DE')
('252405130', '+25240513', 'SO', 'SO')
('951565426', '+951565426', 'MM', 'MM')
('+39391426921', '+39391426921', 'IT', 'IT')
('+49699767115', '+49699767115', 'DE', 'DE')
('+79837823755', '+79837823755', 'RU', 'RU')
('8798954019', '+78798954019', 'RU', 'RU')
('9620200699', '+70200699', 'RU', 'RU')
('958471622', '+958471622', 'MM', 'MM')
('7009920687', '+7009920687', 'KZ', 'KZ')
('4854659328', '+754659328', 'RU', 'RU')
('+820106337353', '+820106337353', 'KR', 'KR')
('9310257528', '+710257528', 'RU', 'RU')
('38111364446', '+38111364446', 'RS', 'RS')
('49813780812', '+49813780812', 'DE', 'DE')
('4112929181', '+712929181', 'RU', 'RU')
('4115244203', '+715244203', 'RU', 'RU')
('9977674434', '+79977674434', 'RU', 'RU')
('9226414015', '+726414015', 'RU', 'RU')
('4959500762', '+759500762', 'RU', 'RU')
('8621233535', '+721233535', 'RU', 'RU')
('+82104630157', '+82104630157', 'KR', 'KR')
('9500757316', '+700757316', 'RU', 'RU')
('4136526793', '+736526793', 'RU', 'RU')
('9945971619', '+75971619', 'RU', 'RU')
('9598120237', '+798120237', 'RU', 'RU')
('8092873756', '+78092873756', 'RU', 'RU')
('9482093065', '+782093065', 'RU', 'RU')
('9030363319', '+730363319', 'RU', 'RU')
('9545156265', '+745156265', 'RU', 'RU')
('8205060396', '+705060396', 'RU', 'RU')
('3845553177', '+73845553177', 'RU', 'RU')
('9433960919', '+733960919', 'RU', 'RU')
('9612539069', '+72539069', 'RU', 'RU')
('4276600101', '+74276600101', 'RU', 'RU')
('9402902856', '+702902856', 'RU', 'RU')
('+628157880099', '+628157880099', 'ID', 'ID')
('9289795320', '+78979532', 'RU', 'RU')
('9716627952', '+76627952', 'RU', 'RU')
('8464920466', '+764920466', 'RU', 'RU')
('9732528358', '+72528358', 'RU', 'RU')
('9546216606', '+746216606', 'RU', 'RU')
('9693098873', '+79693098873', 'RU', 'RU')
('9017500429', '+717500429', 'RU', 'RU')
('7001265004', '+7001265004', 'KZ', 'KZ')
('9624478535', '+74478535', 'RU', 'RU')
('3838029329', '+78029329', 'RU', 'RU')
('7079857115', '+7079857115', 'KZ', 'KZ')
('7773076840', '+777307684', 'KZ', 'KZ')
('9016658255', '+716658255', 'RU', 'RU')
('9519413716', '+719413716', 'RU', 'RU')
('9252755758', '+752755758', 'RU', 'RU')
('9040990348', '+740990348', 'RU', 'RU')
('7024168375', '+7024168375', 'KZ', 'KZ')
('9431657132', '+731657132', 'RU', 'RU')
('7076071620', '+707607162', 'KZ', 'KZ')
('7163274789', '+7163274789', 'KZ', 'KZ')
('4875711296', '+775711296', 'RU', 'RU')
('3885899251', '+73885899251', 'RU', 'RU')
('3467220845', '+767220845', 'RU', 'RU')
('8131173892', '+731173892', 'RU', 'RU')
('8485841752', '+785841752', 'RU', 'RU')
('4952574310', '+75257431', 'RU', 'RU')
('3856902546', '+76902546', 'RU', 'RU')
('8087129956', '+78087129956', 'RU', 'RU')
('8672641422', '+772641422', 'RU', 'RU')
('9293812883', '+793812883', 'RU', 'RU')
('3012750363', '+712750363', 'RU', 'RU')
('8488678736', '+788678736', 'RU', 'RU')
('3855651832', '+75651832', 'RU', 'RU')
('8451364805', '+751364805', 'RU', 'RU')
('9552932277', '+752932277', 'RU', 'RU')
('9587598412', '+787598412', 'RU', 'RU')
('8314803703', '+78314803703', 'RU', 'RU')
('9410412750', '+71041275', 'RU', 'RU')
('9632487593', '+72487593', 'RU', 'RU')
('9697706203', '+79697706203', 'RU', 'RU')
('9383207253', '+783207253', 'RU', 'RU')
('3439702294', '+739702294', 'RU', 'RU')
('7073859854', '+7073859854', 'KZ', 'KZ')
('4819230047', '+719230047', 'RU', 'RU')
('+2782563911', '+2782563911', 'ZA', 'ZA')
('4999803445', '+799803445', 'RU', 'RU')
('9741916384', '+71916384', 'RU', 'RU')
('7242475696', '+7242475696', 'KZ', 'KZ')
('8699681861', '+799681861', 'RU', 'RU')
('4840184452', '+740184452', 'RU', 'RU')
('9296262143', '+796262143', 'RU', 'RU')
('9911331285', '+79911331285', 'RU', 'RU')
('8128938184', '+728938184', 'RU', 'RU')
('9357859716', '+757859716', 'RU', 'RU')
('3013330887', '+713330887', 'RU', 'RU')
('3452023821', '+752023821', 'RU', 'RU')
('9986176610', '+7617661', 'RU', 'RU')
('8675668638', '+775668638', 'RU', 'RU')
('9662484563', '+72484563', 'RU', 'RU')
('9587495030', '+78749503', 'RU', 'RU')
('8344663856', '+78344663856', 'RU', 'RU')
('8460686546', '+760686546', 'RU', 'RU')
('8401719720', '+70171972', 'RU', 'RU')
('8794972163', '+78794972163', 'RU', 'RU')
('8728962727', '+78728962727', 'RU', 'RU')
('9822655577', '+722655577', 'RU', 'RU')
('9082671769', '+782671769', 'RU', 'RU')
('9908964344', '+79908964344', 'RU', 'RU')
('8213755636', '+713755636', 'RU', 'RU')
('8116568868', '+716568868', 'RU', 'RU')
('8359429724', '+78359429724', 'RU', 'RU')
('9339489440', '+73948944', 'RU', 'RU')
('8335847171', '+78335847171', 'RU', 'RU')
('4991063469', '+791063469', 'RU', 'RU')
('9185896581', '+785896581', 'RU', 'RU')
('9487004726', '+787004726', 'RU', 'RU')
('7515422184', '+7515422184', 'KZ', 'KZ')
('9932472300', '+724723', 'RU', 'RU')
('8662794173', '+762794173', 'RU', 'RU')
('8082693743', '+78082693743', 'RU', 'RU')
('9756886921', '+76886921', 'RU', 'RU')
('9524989813', '+724989813', 'RU', 'RU')
('9225274897', '+725274897', 'RU', 'RU')
('9627750886', '+77750886', 'RU', 'RU')
('9914642342', '+79914642342', 'RU', 'RU')
('8469631332', '+769631332', 'RU', 'RU')
('3830410261', '+70410261', 'RU', 'RU')
('9117583016', '+717583016', 'RU', 'RU')
('9061856312', '+761856312', 'RU', 'RU')
('9366090595', '+766090595', 'RU', 'RU')
('8086791267', '+78086791267', 'RU', 'RU')
('7628962489', '+7628962489', 'KZ', 'KZ')
('9794278386', '+79794278386', 'RU', 'RU')
('8113073110', '+71307311', 'RU', 'RU')
('9444791997', '+744791997', 'RU', 'RU')
('9034684342', '+734684342', 'RU', 'RU')
('4753760288', '+753760288', 'RU', 'RU')
('9575547969', '+775547969', 'RU', 'RU')
('9078059781', '+778059781', 'RU', 'RU')
('7517636433', '+7517636433', 'KZ', 'KZ')
('8172491116', '+772491116', 'RU', 'RU')
('8654671121', '+754671121', 'RU', 'RU')
('9046123199', '+746123199', 'RU', 'RU')
('3497064615', '+797064615', 'RU', 'RU')
('9521692607', '+721692607', 'RU', 'RU')
('9783601124', '+79783601124', 'RU', 'RU')
('9085312996', '+785312996', 'RU', 'RU')
('9437643830', '+73764383', 'RU', 'RU')
('8796118981', '+78796118981', 'RU', 'RU')
('9167270222', '+767270222', 'RU', 'RU')
('8632894276', '+732894276', 'RU', 'RU')
('9980031343', '+70031343', 'RU', 'RU')
('8798274719', '+78798274719', 'RU', 'RU')
('9125686749', '+725686749', 'RU', 'RU')
('9556091096', '+756091096', 'RU', 'RU')
('3470287311', '+770287311', 'RU', 'RU')
('7072598564', '+7072598564', 'KZ', 'KZ')
('8366263852', '+78366263852', 'RU', 'RU')
('4828617114', '+728617114', 'RU', 'RU')
('9391806665', '+791806665', 'RU', 'RU')
('4874692295', '+774692295', 'RU', 'RU')
('4848762450', '+74876245', 'RU', 'RU')
('9642269635', '+72269635', 'RU', 'RU')
('3918230657', '+718230657', 'RU', 'RU')
('4844816277', '+744816277', 'RU', 'RU')
('9593256116', '+793256116', 'RU', 'RU')
('4921675565', '+721675565', 'RU', 'RU')
('9293465768', '+793465768', 'RU', 'RU')
('9519695719', '+719695719', 'RU', 'RU')
('8341964072', '+78341964072', 'RU', 'RU')
('7162849606', '+7162849606', 'KZ', 'KZ')
('+39028907190', '+3902890719', 'IT', 'IT')
('+628560446079', '+628560446079', 'ID', 'ID')
('9205808537', '+705808537', 'RU', 'RU')
('9239946526', '+739946526', 'RU', 'RU')
('9951891299', '+71891299', 'RU', 'RU')
('7775576483', '+7775576483', 'KZ', 'KZ')
('9107954422', '+707954422', 'RU', 'RU')
('4878214655', '+778214655', 'RU', 'RU')
('4830939617', '+730939617', 'RU', 'RU')
('9196391708', '+796391708', 'RU', 'RU')
('4854354423', '+754354423', 'RU', 'RU')
('9565169691', '+765169691', 'RU', 'RU')
('8671968525', '+771968525', 'RU', 'RU')
('4235025641', '+75025641', 'RU', 'RU')
('4713310416', '+713310416', 'RU', 'RU')
('9081333518', '+781333518', 'RU', 'RU')
('9222961220', '+72296122', 'RU', 'RU')
('9326643332', '+726643332', 'RU', 'RU')
('9651465071', '+71465071', 'RU', 'RU')
('4235919346', '+75919346', 'RU', 'RU')
('8175857950', '+77585795', 'RU', 'RU')
('9238559922', '+738559922', 'RU', 'RU')
('9890648020', '+79064802', 'RU', 'RU')
('8628381407', '+728381407', 'RU', 'RU')
('9447369961', '+747369961', 'RU', 'RU')
('4242695501', '+74242695501', 'RU', 'RU')
('9572801324', '+772801324', 'RU', 'RU')
('4939504201', '+739504201', 'RU', 'RU')
('7600979346', '+7600979346', 'KZ', 'KZ')
('9417032440', '+71703244', 'RU', 'RU')
('9413166830', '+71316683', 'RU', 'RU')
('8440383057', '+740383057', 'RU', 'RU')
('8149740637', '+749740637', 'RU', 'RU')
('7627242539', '+7627242539', 'KZ', 'KZ')
('9917214882', '+79917214882', 'RU', 'RU')
('8039922407', '+78039922407', 'RU', 'RU')
('9369129872', '+769129872', 'RU', 'RU')
('9804528890', '+70452889', 'RU', 'RU')
('9786754645', '+79786754645', 'RU', 'RU')
('9791019610', '+7979101961', 'RU', 'RU')
('9197755452', '+797755452', 'RU', 'RU')
('9799992172', '+79799992172', 'RU', 'RU')
('9394120363', '+794120363', 'RU', 'RU')
('8777895507', '+78777895507', 'RU', 'RU')
('9334170733', '+734170733', 'RU', 'RU')
('9475350236', '+775350236', 'RU', 'RU')
('9120709802', '+720709802', 'RU', 'RU')
('8405863937', '+705863937', 'RU', 'RU')
('9037148603', '+737148603', 'RU', 'RU')
('9672206261', '+72206261', 'RU', 'RU')
('8653820078', '+753820078', 'RU', 'RU')
('9616977737', '+76977737', 'RU', 'RU')
('9841496511', '+741496511', 'RU', 'RU')
('9814960665', '+714960665', 'RU', 'RU')
('9187280846', '+787280846', 'RU', 'RU')
('9747531420', '+7753142', 'RU', 'RU')
('8166329387', '+766329387', 'RU', 'RU')
('8459279200', '+7592792', 'RU', 'RU')
('8690733296', '+790733296', 'RU', 'RU')
('9881342620', '+78134262', 'RU', 'RU')
('7630046041', '+7630046041', 'KZ', 'KZ')
('9319805204', '+719805204', 'RU', 'RU')
('9332266677', '+732266677', 'RU', 'RU')
('9609451796', '+79451796', 'RU', 'RU')
('9878110573', '+778110573', 'RU', 'RU')
('7777209954', '+7777209954', 'KZ', 'KZ')
('9856547911', '+756547911', 'RU', 'RU')
('3452899441', '+752899441', 'RU', 'RU')
('8468934074', '+768934074', 'RU', 'RU')
('9942263565', '+72263565', 'RU', 'RU')
('9757806837', '+77806837', 'RU', 'RU')
('9223310937', '+723310937', 'RU', 'RU')
('9237581695', '+737581695', 'RU', 'RU')
('9395118277', '+795118277', 'RU', 'RU')
('9721148664', '+71148664', 'RU', 'RU')
('7005785600', '+70057856', 'KZ', 'KZ')
('3428687255', '+728687255', 'RU', 'RU')
('8437103797', '+737103797', 'RU', 'RU')
('3816904758', '+76904758', 'RU', 'RU')
('4938321919', '+738321919', 'RU', 'RU')
('9295677561', '+795677561', 'RU', 'RU')
('3437806134', '+737806134', 'RU', 'RU')
('9529017322', '+729017322', 'RU', 'RU')
('3917439767', '+717439767', 'RU', 'RU')
('9865536661', '+765536661', 'RU', 'RU')
('+64210820977', '+64210820977', 'NZ', 'NZ')
('+39333166173', '+39333166173', 'IT', 'IT')
('8783939201', '+78783939201', 'RU', 'RU')
('+628133703327', '+628133703327', 'ID', 'ID')
('532227295', '+532227295', 'CU', 'CU')
('3015136116', '+715136116', 'RU', 'RU')
('9253037986', '+753037986', 'RU', 'RU')
('9615188081', '+75188081', 'RU', 'RU')
('9452377883', '+752377883', 'RU', 'RU')
('9010498011', '+710498011', 'RU', 'RU')
('9283379921', '+783379921', 'RU', 'RU')
('9158062221', '+758062221', 'RU', 'RU')
('9176468829', '+776468829', 'RU', 'RU')
('8217051778', '+717051778', 'RU', 'RU')
('+43664450380', '+4366445038', 'AT', 'AT')
('+27 84606401', '+2784606401', 'ZA', 'ZA')
('9643934929', '+73934929', 'RU', 'RU')
('9133135148', '+733135148', 'RU', 'RU')
('9911184402', '+79911184402', 'RU', 'RU')
('8415678734', '+715678734', 'RU', 'RU')
('9360417158', '+760417158', 'RU', 'RU')
('4744079171', '+744079171', 'RU', 'RU')
('8451834378', '+751834378', 'RU', 'RU')
('8616467224', '+716467224', 'RU', 'RU')
('9870671295', '+770671295', 'RU', 'RU')
('8731090582', '+78731090582', 'RU', 'RU')
('9682049387', '+72049387', 'RU', 'RU')
('4985172182', '+785172182', 'RU', 'RU')
('9192149059', '+792149059', 'RU', 'RU')
('9145941570', '+74594157', 'RU', 'RU')
('9413684328', '+713684328', 'RU', 'RU')
('9249138066', '+749138066', 'RU', 'RU')
('9725441128', '+75441128', 'RU', 'RU')
('9496124982', '+796124982', 'RU', 'RU')
('8458574186', '+758574186', 'RU', 'RU')
('9163564278', '+763564278', 'RU', 'RU')
('4014722798', '+714722798', 'RU', 'RU')
('9158124005', '+758124005', 'RU', 'RU')
('7620306973', '+7620306973', 'KZ', 'KZ')
('9940082532', '+70082532', 'RU', 'RU')
('9022079794', '+722079794', 'RU', 'RU')
('8630358010', '+73035801', 'RU', 'RU')
('9346866240', '+74686624', 'RU', 'RU')
('8147449672', '+747449672', 'RU', 'RU')
('4738317923', '+738317923', 'RU', 'RU')
('4827413368', '+727413368', 'RU', 'RU')
('7087399709', '+7087399709', 'KZ', 'KZ')
('+628123551859', '+628123551859', 'ID', 'ID')
('7855513294', '+7855513294', 'KZ', 'KZ')
('4240320864', '+74240320864', 'RU', 'RU')
('8784871611', '+78784871611', 'RU', 'RU')
('4818287532', '+718287532', 'RU', 'RU')
('8098389973', '+78098389973', 'RU', 'RU')
('9071083379', '+771083379', 'RU', 'RU')
('7611260155', '+7611260155', 'KZ', 'KZ')
('8668412064', '+768412064', 'RU', 'RU')
('4213709627', '+73709627', 'RU', 'RU')
('4860337683', '+760337683', 'RU', 'RU')
('8619069783', '+719069783', 'RU', 'RU')
('3811043578', '+71043578', 'RU', 'RU')
('3951543998', '+751543998', 'RU', 'RU')
('9820695767', '+720695767', 'RU', 'RU')
('4018619872', '+718619872', 'RU', 'RU')
('8720351806', '+78720351806', 'RU', 'RU')
('3945973248', '+745973248', 'RU', 'RU')
('3839562907', '+79562907', 'RU', 'RU')
('3813489588', '+73489588', 'RU', 'RU')
('3912631841', '+712631841', 'RU', 'RU')
('9215804875', '+715804875', 'RU', 'RU')
('4162111606', '+762111606', 'RU', 'RU')
('8427514684', '+727514684', 'RU', 'RU')
('9289130491', '+789130491', 'RU', 'RU')
('3434503832', '+734503832', 'RU', 'RU')
('9583440300', '+7834403', 'RU', 'RU')
('8115348697', '+715348697', 'RU', 'RU')
('9751337398', '+71337398', 'RU', 'RU')
('3427777810', '+72777781', 'RU', 'RU')
('9056635039', '+756635039', 'RU', 'RU')
('9916184210', '+7991618421', 'RU', 'RU')
('9018834651', '+718834651', 'RU', 'RU')
('9800167989', '+700167989', 'RU', 'RU')
('9380634631', '+780634631', 'RU', 'RU')
